split,uid,text
train,1782bea75c7d-1,Page 111
train,1782bea75c7d-2,Make it shorter.
train,1782bea75c7d-3,"One day, Akbar drew a line on the floor and ordered."
train,1782bea75c7d-4,Make this line shorter.
train,1782bea75c7d-5,but don't rub out any part of it.
train,1782bea75c7d-6,No one knew what to do.
train,1782bea75c7d-7,Each minister looked at the line and was puzzled.
train,1782bea75c7d-8,No one could think of any way to make it longer.
train,1782bea75c7d-9,No one could think of how it could be made shorter without erasing it.
train,1782bea75c7d-10,"Birbal started smiling. When it was his turn, he went near the line."
